id,category,question,correct_answer,explanation,options_json,image_paths_json,archive_url
216,Legal Matters/Rules of the Road,What does this sign mean?,Slippery road.,This roadworks warning sign tells you that the surface ahead is slippery due to mud or debris and there is an increased risk of skidding.,"[{""index"": 0, ""text"": ""Slippery road."", ""is_correct"": true}, {""index"": 1, ""text"": ""Steep hill ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""Series of bends ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Road narrows from the right."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_w0iZc.png""]",https://web.archive.org/web/20200808121638id_/http://theory-tester.com:80/questions/216
217,Legal Matters/Rules of the Road,What does this sign mean?,Road narrows from left.,This warning sign tells you that there are roadworks up ahead where the road narrows from the left creating a potential hazard.,"[{""index"": 0, ""text"": ""Road narrows from left."", ""is_correct"": true}, {""index"": 1, ""text"": ""Slow lane ends ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""Left-hand lane has an uneven surface."", ""is_correct"": false}, {""index"": 3, ""text"": ""A driver may overtake on the right only."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_UkNyl.png""]",https://web.archive.org/web/20200808121643id_/http://theory-tester.com:80/questions/217
218,Legal Matters/Rules of the Road,What does this sign mean?,Road narrows from right.,"Where there are roadworks up ahead, this warning sign tells you that the road narrows from the right creating a potential hazard.","[{""index"": 0, ""text"": ""A driver may overtake on the right only."", ""is_correct"": false}, {""index"": 1, ""text"": ""Road narrows from right."", ""is_correct"": true}, {""index"": 2, ""text"": ""Overtaking lane ends ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Right hand lane has an uneven surface."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_hKKYA.png""]",https://web.archive.org/web/20200808121648id_/http://theory-tester.com:80/questions/218
219,Legal Matters/Rules of the Road,What does this sign mean?,Road narrows on both sides.,This roadworks warning sign tells you that the road narrows on both sides creating a potential hazard. Be prepared to slow down and drive with extra care.,"[{""index"": 0, ""text"": ""End of obstruction between lanes."", ""is_correct"": false}, {""index"": 1, ""text"": ""Traffic merging from both sides."", ""is_correct"": false}, {""index"": 2, ""text"": ""Road narrows on both sides."", ""is_correct"": true}, {""index"": 3, ""text"": ""End of dual carriageway ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_xNF2x.png""]",https://web.archive.org/web/20200808121653id_/http://theory-tester.com:80/questions/219
220,Legal Matters/Rules of the Road,What does this sign mean?,Flagman ahead.,This roadworks warning sign tells you that the traffic flow ahead is controlled manually by a flagman. Be aware and follow directions given by the flagman.,"[{""index"": 0, ""text"": ""Hitch-hiking permitted."", ""is_correct"": false}, {""index"": 1, ""text"": ""Pedestrian crossing to right."", ""is_correct"": false}, {""index"": 2, ""text"": ""Football stadium ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Flagman ahead."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_1gKSk.png""]",https://web.archive.org/web/20200808121658id_/http://theory-tester.com:80/questions/220
221,Legal Matters/Rules of the Road,What does this sign mean?,Temporary traffic signals ahead.,"This roadworks warning sign tells you that temporary traffic signals are in use ahead. You should prepare to slow down, approach with caution and comply with the signal displayed.","[{""index"": 0, ""text"": ""Temporary road surface ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""Temporary traffic signals ahead."", ""is_correct"": true}, {""index"": 2, ""text"": ""School children crossing ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Railway crossing ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_RQY4i.png""]",https://web.archive.org/web/20200808121703id_/http://theory-tester.com:80/questions/221
222,Legal Matters/Rules of the Road,What does this sign mean?,Two-way traffic.,This warning sign tells you that during roadworks there will be two-way traffic in operation ahead. Continue to drive with extra care.,"[{""index"": 0, ""text"": ""Traffic may not stop."", ""is_correct"": false}, {""index"": 1, ""text"": ""Dual carriageway ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""One-way street."", ""is_correct"": false}, {""index"": 3, ""text"": ""Two-way traffic."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_MNAxK.png""]",https://web.archive.org/web/20200808121708id_/http://theory-tester.com:80/questions/222
223,Legal Matters/Rules of the Road,What does this sign mean?,Nearside lane of two closed.,This roadworks warning sign tells you that that the nearside (left hand) lane is closed ahead. If you are in this lane you will need to move to the offside (right hand) lane when it is safe to do so.,"[{""index"": 0, ""text"": ""Traffic in nearside lane must turn left."", ""is_correct"": false}, {""index"": 1, ""text"": ""Nearside lane of two closed."", ""is_correct"": true}, {""index"": 2, ""text"": ""T-junction ahead in the left lane."", ""is_correct"": false}, {""index"": 3, ""text"": ""Offside lane of two closed."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_3yPcS.png""]",https://web.archive.org/web/20250307183048id_/http://theory-tester.com/questions/223
224,Legal Matters/Rules of the Road,What does this sign mean?,Nearside lane of three closed.,This roadworks warning sign tells you that that the nearside (left hand) lane of three is closed up ahead. If you are in this lane you will need to move to the centre (middle) lane when it is safe to do so.,"[{""index"": 0, ""text"": ""Nearside lane of three closed."", ""is_correct"": true}, {""index"": 1, ""text"": ""Overtaking permitted, except on the left lane."", ""is_correct"": false}, {""index"": 2, ""text"": ""No left turn."", ""is_correct"": false}, {""index"": 3, ""text"": ""Do not drive on the hard shoulder."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_pzmxt.png""]",https://web.archive.org/web/20200808121718id_/http://theory-tester.com:80/questions/224
225,Alert Driving and Consideration,What should the driver of the silver car do before turning left?,Allow the cyclist heading straight on to pass.,Do not overtake a cyclist as you approach a junction at which you are turning left. The cyclist might be continuing ahead. Cyclists are vulnerable road users and may be unstable in slow-moving traffic and at junctions. Give them more room.,"[{""index"": 0, ""text"": ""Beckon to the cyclist that you intend to turn left."", ""is_correct"": false}, {""index"": 1, ""text"": ""Turn the corner before the cyclist."", ""is_correct"": false}, {""index"": 2, ""text"": ""Allow the cyclist heading straight on to pass."", ""is_correct"": true}, {""index"": 3, ""text"": ""Increase speed to be able to turn the corner before the cyclist."", ""is_correct"": false}]","[""data/assets/img/quiz-img/carsituation19.jpg""]",https://web.archive.org/web/20200808121723id_/http://theory-tester.com:80/questions/225
226,Legal Matters/Rules of the Road,"At roadworks, what does this sign mean?",Proceed with caution.,This traffic control sign tells you that you may proceed with caution through road works.,"[{""index"": 0, ""text"": ""Proceed with caution."", ""is_correct"": true}, {""index"": 1, ""text"": ""Proceed only when beckoned to do so."", ""is_correct"": false}, {""index"": 2, ""text"": ""Proceed with hazard warning lights on."", ""is_correct"": false}, {""index"": 3, ""text"": ""Proceed using hand signals only."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_Vh4MJ.png""]",https://web.archive.org/web/20200808121728id_/http://theory-tester.com:80/questions/226
227,Legal Matters/Rules of the Road,"At roadworks, what does this sign mean?",Stop before or at the sign.,This traffic control sign at roadworks means you must stop.,"[{""index"": 0, ""text"": ""Stop for school warden."", ""is_correct"": false}, {""index"": 1, ""text"": ""Stop only if faced by oncoming traffic."", ""is_correct"": false}, {""index"": 2, ""text"": ""Stop before or at the sign."", ""is_correct"": true}, {""index"": 3, ""text"": ""Proceed if road ahead is clear."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_LjQuf.png""]",https://web.archive.org/web/20200808121733id_/http://theory-tester.com:80/questions/227
228,Legal Matters/Rules of the Road,What do these signs together mean?,End of detour.,Together these two signs indicate that a detour has ended.,"[{""index"": 0, ""text"": ""End of road."", ""is_correct"": false}, {""index"": 1, ""text"": ""End of road works."", ""is_correct"": false}, {""index"": 2, ""text"": ""End of speed limit."", ""is_correct"": false}, {""index"": 3, ""text"": ""End of detour."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_FymIO.png""]",https://web.archive.org/web/20200808121738id_/http://theory-tester.com:80/questions/228
229,Legal Matters/Rules of the Road,What does this sign mean?,Traffic should cross back to the left-hand lane ahead.,This roadworks warning sign tells you that the course of the road will return to the left ahead. This usually appears after a stretch where traffic was diverted to a right-hand lane.,"[{""index"": 0, ""text"": ""Bend in the road to the left ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""Slow lane ahead for heavy traffic."", ""is_correct"": false}, {""index"": 2, ""text"": ""Traffic should cross back to the left-hand lane ahead."", ""is_correct"": true}, {""index"": 3, ""text"": ""Lay-by ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_kmmkI.png""]",https://web.archive.org/web/20200808121743id_/http://theory-tester.com:80/questions/229
230,Legal Matters/Rules of the Road,What does this sign mean?,Traffic should cross out to the right-hand lane ahead.,This roadworks warning sign tells you that the course of the road will divert to the right ahead.,"[{""index"": 0, ""text"": ""Traffic should cross out to the right-hand lane ahead."", ""is_correct"": true}, {""index"": 1, ""text"": ""Traffic calming measures ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""Bend in the road to the right ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""End of ?no overtaking? zone."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_3bLy2.png""]",https://web.archive.org/web/20200808223104id_/http://theory-tester.com:80/questions/230
231,Legal Matters/Rules of the Road,What does this sign mean?,End of central reserve or obstruction.,This roadworks warning sign tells you that traffic previously separated by the central reserve or an obstruction will revert to two-way traffic.,"[{""index"": 0, ""text"": ""Tunnel ends ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""End of central reserve or obstruction."", ""is_correct"": true}, {""index"": 2, ""text"": ""Beware of vehicle with a wide load."", ""is_correct"": false}, {""index"": 3, ""text"": ""Dual carriageway ends ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_6wXny.png""]",https://web.archive.org/web/20200225201729id_/http://theory-tester.com:80/questions/231
232,Legal Matters/Rules of the Road,What does this hand signal mean?,The cyclist intends to move out or turn right.,This hand signal tells other road users that the cyclist intends to either move out or make a right hand turn. Drivers should be aware that cyclists could move out into the path of their vehicle without looking.,"[{""index"": 0, ""text"": ""The cyclist intends to move out or turn right."", ""is_correct"": true}, {""index"": 1, ""text"": ""The cyclist intends to slow down."", ""is_correct"": false}, {""index"": 2, ""text"": ""The cyclist intends to move in or turn left."", ""is_correct"": false}, {""index"": 3, ""text"": ""The cyclist intends to stop."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_7PJ6r.png""]",https://web.archive.org/web/20200225201408id_/http://theory-tester.com:80/questions/232
233,Legal Matters/Rules of the Road,What does this hand signal mean?,The cyclist intends to slow down or stop.,"This hand signal informs other road users that cyclist intends to slow down or stop. This may indicate that the cyclist is aware of some hazard ahead, so drive with extra care.","[{""index"": 0, ""text"": ""The cyclist is signalling following traffic to overtake."", ""is_correct"": false}, {""index"": 1, ""text"": ""The cyclist intends to slow down or stop."", ""is_correct"": true}, {""index"": 2, ""text"": ""The cyclist intends to move out."", ""is_correct"": false}, {""index"": 3, ""text"": ""The cyclist intends to turn left."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_9CHci.png""]",https://web.archive.org/web/20200220221646id_/http://theory-tester.com:80/questions/233
234,Legal Matters/Rules of the Road,What does this hand signal mean?,The cyclist intends to turn right.,This hand signal tells other road users that the cyclist intends to either move out or make a right hand turn. Drivers should be aware that cyclists could cross the path of their vehicle.,"[{""index"": 0, ""text"": ""The cyclist intends to stop."", ""is_correct"": false}, {""index"": 1, ""text"": ""The cyclist intends to turn right."", ""is_correct"": true}, {""index"": 2, ""text"": ""The cyclist intends to turn left."", ""is_correct"": false}, {""index"": 3, ""text"": ""The cyclist intends to slow down."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_2Gw9a.png""]",https://web.archive.org/web/20200127021506id_/http://theory-tester.com:80/questions/234
235,Legal Matters/Rules of the Road,What does this hand signal mean?,The driver intends to proceed straight ahead.,This hand signal informs other road users or a Garda directing traffic that the driver intends to proceed straight ahead.,"[{""index"": 0, ""text"": ""The driver intends to reverse."", ""is_correct"": false}, {""index"": 1, ""text"": ""The driver intends to proceed straight ahead."", ""is_correct"": true}, {""index"": 2, ""text"": ""The driver intends to turn left."", ""is_correct"": false}, {""index"": 3, ""text"": ""The driver intends to slow down or stop."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_X3wb8.png""]",https://web.archive.org/web/20200220222258id_/http://theory-tester.com:80/questions/235
236,Legal Matters/Rules of the Road,What does this road marking mean?,"Traffic must not enter unless they can clear the box junction without stopping, or when turning right.",You must not enter the yellow box junction unless you can clear it without stopping or unless you are turning right and are prevented from doing so by oncoming traffic.,"[{""index"": 0, ""text"": ""Taxi set-down area."", ""is_correct"": false}, {""index"": 1, ""text"": ""Traffic must not enter unless they can clear the box junction without stopping, or when turning right."", ""is_correct"": true}, {""index"": 2, ""text"": ""Traffic entering a box junction from right and left has the right of way unless continuing straight on."", ""is_correct"": false}, {""index"": 3, ""text"": ""Traffic entering a box junction may have right of way over traffic from both right and left."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_XpQuV.png""]",https://web.archive.org/web/20200127190511id_/http://theory-tester.com:80/questions/236
237,Legal Matters/Rules of the Road,What does this road marking mean?,All traffic must keep to the left of the white line.,"Where there is a continuous white line in the centre of the road, you are not permitted to: 1. Straddle or cross the white line; 2. Overtake another vehicle; 3. Perform a U-turn; or 4. Park on the road.","[{""index"": 0, ""text"": ""A driver may overtake."", ""is_correct"": false}, {""index"": 1, ""text"": ""A driver is approaching a Stop sign."", ""is_correct"": false}, {""index"": 2, ""text"": ""Road narrows ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""All traffic must keep to the left of the white line."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_jPKwt.png""]",https://web.archive.org/web/20200127234214id_/http://theory-tester.com:80/questions/237
238,Legal Matters/Rules of the Road,What does this road marking and information plate together mean?,Parking not allowed at the times and days shown.,A single yellow line along the edge of a road means that you must not park there during the times shown on the accompanying information plate,"[{""index"": 0, ""text"": ""Parking not allowed at the times and days shown."", ""is_correct"": true}, {""index"": 1, ""text"": ""Parking only at times and days shown."", ""is_correct"": false}, {""index"": 2, ""text"": ""Taxi parking only outside the times and days shown."", ""is_correct"": false}, {""index"": 3, ""text"": ""Taxi parking only at the times and days shown."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_YzzCK.png""]",https://web.archive.org/web/20200220222122id_/http://theory-tester.com:80/questions/238
239,Legal Matters/Rules of the Road,What do these road markings mean?,Continuous white lines ahead.,Double broken white lines along the centre of the road alert you to continuous white lines ahead. Do not cross them unless it is safe to do so.,"[{""index"": 0, ""text"": ""Continuous white lines ahead."", ""is_correct"": true}, {""index"": 1, ""text"": ""No parking allowed."", ""is_correct"": false}, {""index"": 2, ""text"": ""Dual carriageway ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""No overtaking allowed."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_Yu52y.png""]",https://web.archive.org/web/20200220222303id_/http://theory-tester.com:80/questions/239
240,Legal Matters/Rules of the Road,What does this road marking mean?,No entry.,This road marking indicates a one-way street. You may not enter this street.,"[{""index"": 0, ""text"": ""The road ahead is a cul-de-sac."", ""is_correct"": false}, {""index"": 1, ""text"": ""Pedestrian crossing."", ""is_correct"": false}, {""index"": 2, ""text"": ""Private vehicles not allowed."", ""is_correct"": false}, {""index"": 3, ""text"": ""No entry."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_SRFmp.png""]",https://web.archive.org/web/20200220222818id_/http://theory-tester.com:80/questions/240
241,Legal Matters/Rules of the Road,What does this traffic light mean?,Traffic turning left may proceed if the way is clear.,A green arrow (filter light) means that traffic may proceed in the direction of the arrow if it is safe to do so,"[{""index"": 0, ""text"": ""All traffic must turn left only."", ""is_correct"": false}, {""index"": 1, ""text"": ""Traffic turning left may proceed if the way is clear."", ""is_correct"": true}, {""index"": 2, ""text"": ""Traffic turning left should prepare for full green to move off."", ""is_correct"": false}, {""index"": 3, ""text"": ""Traffic is not allowed to turn left."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_N9neK.png""]",https://web.archive.org/web/20200225201734id_/http://theory-tester.com:80/questions/241
242,Legal Matters/Rules of the Road,What does a continuous white line along the centre of the road mean?,No U-turn allowed.,You must never do a U-turn on any stretch of road with a continuous white line along its centre. The restricted vision at such places would make doing a U-turn very unsafe.,"[{""index"": 0, ""text"": ""U-turn allowed during daylight hours."", ""is_correct"": false}, {""index"": 1, ""text"": ""Traffic can overtake."", ""is_correct"": false}, {""index"": 2, ""text"": ""No U-turn allowed."", ""is_correct"": true}, {""index"": 3, ""text"": ""Parking allowed during business hours."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_6jroR.png""]",https://web.archive.org/web/20200220222440id_/http://theory-tester.com:80/questions/242
243,Legal Matters/Rules of the Road,What does a continuous white line in the centre of the road mean?,Vehicles may not cross or straddle the line.,You must not cross or straddle a continuous white line in the centre of the road unless you wish to enter land or premises and it is safe to do so.,"[{""index"": 0, ""text"": ""Vehicles may cross the line for a short time."", ""is_correct"": false}, {""index"": 1, ""text"": ""Vehicles may park during daylight hours only."", ""is_correct"": false}, {""index"": 2, ""text"": ""Vehicles may not cross or straddle the line."", ""is_correct"": true}, {""index"": 3, ""text"": ""Vehicles may perform a U-turn."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_YIZ8d.png""]",https://web.archive.org/web/20220816014336id_/http://theory-tester.com/questions/243
244,Control of Vehicle,What does this sign mean?,Parking permitted during the times shown.,"These signs tells you that parking is permitted in both directions, but only at the times shown on the information plate.","[{""index"": 0, ""text"": ""Parking prohibited at the times shown."", ""is_correct"": false}, {""index"": 1, ""text"": ""Parking permitted during the times shown."", ""is_correct"": true}, {""index"": 2, ""text"": ""Maximum parking for one hour during times shown."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_zRzjW.png""]",https://web.archive.org/web/20240809081054id_/http://theory-tester.com/questions/244
245,Control of Vehicle,What does this sign mean?,Clearway - no stopping or parking during the times shown.,A clearway sign means that stopping or parking is not permitted in this area during the times shown on the information plate.,"[{""index"": 0, ""text"": ""Road closed during the times shown."", ""is_correct"": false}, {""index"": 1, ""text"": ""Pedestrianised street - no access for vehicles."", ""is_correct"": false}, {""index"": 2, ""text"": ""Clearway - no stopping or parking during the times shown."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_TlDQE.png""]",https://web.archive.org/web/20250819061112id_/http://theory-tester.com/questions/245
246,Control of Vehicle,What does this sign mean?,Staggered crossroads ahead with roads of equal importance.,This sign gives advance warning of a staggered junction ahead with roads to the left and right. Be aware that vehicles may be emerging from these roads.,"[{""index"": 0, ""text"": ""Roads closed ahead to both left and right."", ""is_correct"": false}, {""index"": 1, ""text"": ""Cul-de-sac to both left and right."", ""is_correct"": false}, {""index"": 2, ""text"": ""Staggered crossroads ahead with roads of equal importance."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_UmZXI.png""]",https://web.archive.org/web/20260314143638id_/http://theory-tester.com/questions/246
247,Control of Vehicle,What does this sign mean?,Dual carriageway ends.,This sign gives advance warning of the end of a dual carriageway. You will soon be entering a 2-way road.,"[{""index"": 0, ""text"": ""Dual carriageway ends."", ""is_correct"": true}, {""index"": 1, ""text"": ""Road narrows ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""Tunnel ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_FRZEb.png""]",https://web.archive.org/web/20251005153007id_/http://theory-tester.com/questions/247
248,Alert Driving and Consideration,What danger should a driver allow for over the brow of this hill?,There may be a slow-moving vehicle in your lane.,On the approach to the brow of a hill you should be extra careful and be prepared to react to a change in the traffic situation.,"[{""index"": 0, ""text"": ""Traffic calming measures may apply."", ""is_correct"": false}, {""index"": 1, ""text"": ""There may be a slow-moving vehicle in your lane."", ""is_correct"": true}, {""index"": 2, ""text"": ""There may be a bus stop."", ""is_correct"": false}, {""index"": 3, ""text"": ""The driver may have to reduce speed at a Pelican-Crossing."", ""is_correct"": false}]","[""data/assets/img/quiz-img/browofhill.jpg""]",https://web.archive.org/web/20210305104337id_/http://theory-tester.com/questions/248
249,Alert Driving and Consideration,What danger should a driver allow for over the brow of this hill?,A vehicle may have broken down.,On the approach to the brow of a hill you should be extra careful and be prepared to react to a change in the traffic situation.,"[{""index"": 0, ""text"": ""A vehicle may have broken down."", ""is_correct"": true}, {""index"": 1, ""text"": ""Traffic calming measures may apply."", ""is_correct"": false}, {""index"": 2, ""text"": ""The driver may have to reduce speed at a Pelican-Crossing."", ""is_correct"": false}, {""index"": 3, ""text"": ""There may be a bus stop."", ""is_correct"": false}]","[""data/assets/img/quiz-img/browofhill.jpg""]",https://web.archive.org/web/20200225202104id_/http://theory-tester.com:80/questions/249
250,Alert Driving and Consideration,What danger should a driver allow for over the brow of this hill?,An oncoming vehicle may be straddling part of your lane.,On the approach to the brow of a hill you should be extra careful and be prepared to react to a change in the traffic situation.,"[{""index"": 0, ""text"": ""Speed cameras may be in operation."", ""is_correct"": false}, {""index"": 1, ""text"": ""There may be no road markings."", ""is_correct"": false}, {""index"": 2, ""text"": ""A high-sided vehicle may be oncoming."", ""is_correct"": false}, {""index"": 3, ""text"": ""An oncoming vehicle may be straddling part of your lane."", ""is_correct"": true}]","[""data/assets/img/quiz-img/browofhill.jpg""]",https://web.archive.org/web/20200130214206id_/http://theory-tester.com:80/questions/250
251,Alert Driving and Consideration,What danger should a driver allow for over the brow of this hill?,There may be oncoming pedestrians.,On the approach to the brow of a hill you should be extra careful and be prepared to react to a change in the traffic situation.,"[{""index"": 0, ""text"": ""There may be oncoming pedestrians."", ""is_correct"": true}, {""index"": 1, ""text"": ""There may be no road markings."", ""is_correct"": false}, {""index"": 2, ""text"": ""Speed cameras may be in operation."", ""is_correct"": false}, {""index"": 3, ""text"": ""A high-sided vehicle may be oncoming."", ""is_correct"": false}]","[""data/assets/img/quiz-img/browofhill.jpg""]",https://web.archive.org/web/20200127020532id_/http://theory-tester.com:80/questions/251
252,Alert Driving and Consideration,What danger should a driver allow for over the brow of this hill?,There may be livestock on the road.,On the approach to the brow of a hill you should be extra careful and be prepared to react to a change in the traffic situation.,"[{""index"": 0, ""text"": ""There may be livestock on the road."", ""is_correct"": true}, {""index"": 1, ""text"": ""An oncoming vehicle may not have power steering."", ""is_correct"": false}, {""index"": 2, ""text"": ""An oncoming vehicle may have low oil pressure."", ""is_correct"": false}, {""index"": 3, ""text"": ""An oncoming vehicle may not have a catalytic converter."", ""is_correct"": false}]","[""data/assets/img/quiz-img/browofhill.jpg""]",https://web.archive.org/web/20200130215241id_/http://theory-tester.com:80/questions/252
253,Managing Risk,What should a driver do when requested to drive a vehicle that they feel is overloaded?,Refuse to drive the vehicle.,"You should not take a vehicle that you believe to be overloaded onto a public road. Overloading is dangerous, as it affects the stability and braking capabilities of the vehicle.","[{""index"": 0, ""text"": ""Drive the vehicle only if accompanied."", ""is_correct"": false}, {""index"": 1, ""text"": ""Drive at a slower speed than normal."", ""is_correct"": false}, {""index"": 2, ""text"": ""Refuse to drive the vehicle."", ""is_correct"": true}, {""index"": 3, ""text"": ""Ensure that the load is properly restrained."", ""is_correct"": false}]",[],https://web.archive.org/web/20250909231903id_/http://theory-tester.com/questions/253
254,Alert Driving and Consideration,What should a driver be aware of in this situation?,There may be a car hidden from view in front of the bus.,On the approach to an area with a restricted view you should be extra careful and be prepared to react to a change in the traffic situation.,"[{""index"": 0, ""text"": ""There may be a car hidden from view in front of the bus."", ""is_correct"": true}, {""index"": 1, ""text"": ""A car oncoming towards you will not overtake the bus."", ""is_correct"": false}, {""index"": 2, ""text"": ""Only buses may use the road."", ""is_correct"": false}, {""index"": 3, ""text"": ""The bus may be towing a trailer."", ""is_correct"": false}]","[""data/assets/img/quiz-img/backofbus.jpg""]",https://web.archive.org/web/20200225233910id_/http://theory-tester.com:80/questions/254
255,Managing Risk,What should a driver do to secure the towing vehicle before unhitching a trailer?,"Apply the handbrake, switch off the ignition and engage a low gear.","Before unhitching a trailer, apply the handbrake, switch off the ignition and engage a lower gear, so that the towing vehicle does not move while you are unhitching the trailer.","[{""index"": 0, ""text"": ""Apply the handbrake, switch off the ignition and engage a low gear."", ""is_correct"": true}, {""index"": 1, ""text"": ""Lower the jockey wheel and then switch off the ignition."", ""is_correct"": false}, {""index"": 2, ""text"": ""Disconnect the electrical supply to the trailer lights and lower the jockey wheel."", ""is_correct"": false}, {""index"": 3, ""text"": ""Apply the handbrake, lower the jockey wheel and switch off the engine."", ""is_correct"": false}]",[],https://web.archive.org/web/20200225201033id_/http://theory-tester.com:80/questions/255
256,Managing Risk,What is the minimum legal tread depth for tyres on cars?,1.6 millimetres,"All road vehicles, except motorcycles and vintage vehicles, must have a minimum tyre tread depth of 1.6 mm over the main tread. However, for safety reasons, you should replace the vehicles tyres before they become this worn.","[{""index"": 0, ""text"": ""2.6 millimetres"", ""is_correct"": false}, {""index"": 1, ""text"": ""1 millimetre"", ""is_correct"": false}, {""index"": 2, ""text"": ""1.6 millimetres"", ""is_correct"": true}, {""index"": 3, ""text"": ""0.6 millimetres"", ""is_correct"": false}]",[],https://web.archive.org/web/20200225203102id_/http://theory-tester.com:80/questions/256
257,Managing Risk,What does the load index of a tyre indicate?,The maximum load a tyre can carry.,"The load index indicates the maximum weight that a tyre can support safely. When replacing a tyre on your vehicle, you should make sure that the new tyre maintains the proper load index for the vehicle.","[{""index"": 0, ""text"": ""The maximum load of the vehicle."", ""is_correct"": false}, {""index"": 1, ""text"": ""The maximum air pressure of the tyre."", ""is_correct"": false}, {""index"": 2, ""text"": ""The maximum load per axle."", ""is_correct"": false}, {""index"": 3, ""text"": ""The maximum load a tyre can carry."", ""is_correct"": true}]",[],https://web.archive.org/web/20200225202827id_/http://theory-tester.com:80/questions/257
258,Managing Risk,What effect could incorrectly aligned headlights have?,They could dazzle oncoming drivers.,A driver should ensure their headlights are properly aligned so as not to dazzle oncoming drivers and also to see properly themselves.,"[{""index"": 0, ""text"": ""They could reduce battery life."", ""is_correct"": false}, {""index"": 1, ""text"": ""They could dazzle oncoming drivers."", ""is_correct"": true}, {""index"": 2, ""text"": ""They could cause a fire."", ""is_correct"": false}, {""index"": 3, ""text"": ""They could wear out the bulbs prematurely."", ""is_correct"": false}]",[],https://web.archive.org/web/20200130220457id_/http://theory-tester.com:80/questions/258
259,Managing Risk,What effect does carrying a load have on a vehicle's braking ability?,It increases the distance required to stop.,"When driving a vehicle which is carrying a load, the driver should be aware that the forces acting on the vehicle will increase the distance required to stop. The driver should allow for this by increasing the distance from the vehicle in front.","[{""index"": 0, ""text"": ""It reduces the distance required to stop."", ""is_correct"": false}, {""index"": 1, ""text"": ""It increases the efficiency of the brakes."", ""is_correct"": false}, {""index"": 2, ""text"": ""It increases the distance required to stop."", ""is_correct"": true}, {""index"": 3, ""text"": ""It has no effect provided the brakes are good."", ""is_correct"": false}]",[],https://web.archive.org/web/20200130215553id_/http://theory-tester.com:80/questions/259
260,Managing Risk,What effect does towing a loaded trailer have on stopping ability?,It increases the stopping distance.,"If you are towing a loaded trailer, you need to be aware that your braking distance could be considerably greater, depending on the weight and size of the trailer. The driver should allow for this by increasing the distance from the vehicle in front.","[{""index"": 0, ""text"": ""It reduces the stopping distance."", ""is_correct"": false}, {""index"": 1, ""text"": ""It increases the efficiency of the brakes."", ""is_correct"": false}, {""index"": 2, ""text"": ""It has no effect on stopping distance."", ""is_correct"": false}, {""index"": 3, ""text"": ""It increases the stopping distance."", ""is_correct"": true}]",[],https://web.archive.org/web/20200220221359id_/http://theory-tester.com:80/questions/260
